Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,ActivityDataQuality,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency,SleepDataQuality,WeightKg,WeightPounds,BodyFatPercentage,BMI,WeightDataQuality,IsManualReport,RestingHeartRate,MaxHeartRate,HR_Samples,ValidSamples,HourlyStepsTotal,HourlyCaloriesTotal,TotalIntensitySum,AverageIntensityAvg,PercentVeryActive,OverallDataQuality
1503960366,2016-04-12,13162,8.5,25,13,328,728,1985,Complete,327,346,94.5,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13158,1988,429,0.2979166666666667,2.3,High
1503960366,2016-04-13,10735,6.96999979019165,21,19,217,776,1797,Complete,384,407,94.3,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10735,1798,318,0.220833375,2.0,High
1503960366,2016-04-14,10460,6.73999977111816,30,11,181,1218,1776,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10460,1776,293,0.20347225,2.1,High
1503960366,2016-04-15,9762,6.28000020980835,29,34,209,726,1745,Complete,412,442,93.2,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9685,1745,364,0.25277770833333335,2.9,High
1503960366,2016-04-16,12669,8.15999984741211,36,10,221,773,1863,Complete,340,367,92.6,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12669,1866,349,0.24236112499999996,3.5,High
1503960366,2016-04-17,9705,6.48000001907349,38,20,164,539,1728,Complete,700,712,98.3,Outlier,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9705,1730,318,0.22083333333333333,5.0,Medium
1503960366,2016-04-18,13019,8.59000015258789,42,16,233,1149,1921,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13019,1920,391,0.27152774999999996,2.9,High
1503960366,2016-04-19,15506,9.88000011444092,50,31,264,775,2035,Complete,304,320,95.0,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15506,2034,476,0.3305556666666667,4.5,High
1503960366,2016-04-20,10544,6.67999982833862,28,12,205,818,1786,Complete,360,377,95.5,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10544,1785,313,0.21736104166666662,2.6,High
1503960366,2016-04-21,9819,6.34000015258789,19,8,211,838,1775,Complete,325,364,89.3,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9819,1777,284,0.197222125,1.8,High
1503960366,2016-04-22,12764,8.13000011444092,66,27,130,1217,1827,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6830,1825,382,0.2652778333333334,4.6,High
1503960366,2016-04-23,14371,9.03999996185303,41,21,262,732,1949,Complete,361,384,94.0,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14371,1948,427,0.29652775000000003,3.9,High
1503960366,2016-04-24,10039,6.40999984741211,39,5,238,709,1788,Complete,430,449,95.8,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10039,1790,365,0.25347225,3.9,High
1503960366,2016-04-25,15355,9.80000019073486,73,14,216,814,2013,Complete,277,323,85.8,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15355,2010,463,0.3215277916666667,6.5,High
1503960366,2016-04-26,13755,8.78999996185303,31,23,279,833,1970,Complete,245,274,89.4,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13755,1973,418,0.2902777916666667,2.7,High
1503960366,2016-04-27,18134,12.210000038147,78,11,243,1108,2159,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12339,2159,499,0.3465277916666667,5.4,High
1503960366,2016-04-28,13154,8.52999973297119,48,28,189,782,1898,Complete,366,393,93.1,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13091,1901,389,0.27013887499999995,4.6,High
1503960366,2016-04-29,11181,7.15000009536743,16,12,243,815,1837,Complete,341,354,96.3,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11181,1839,315,0.21875,1.5,High
1503960366,2016-04-30,14673,9.25,52,34,217,712,1947,Complete,404,425,95.1,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14673,1947,441,0.30625004166666664,5.1,High
1503960366,2016-05-01,10602,6.80999994277954,33,35,246,730,1820,Complete,369,396,93.2,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10602,1828,415,0.28819445833333335,3.2,High
1503960366,2016-05-02,14727,9.71000003814697,41,15,277,798,2004,Complete,277,309,89.6,Valid,52.5999984741211,115.963146545323,22,22.6499996185303,"Weight/BMI Mismatch",True,NULL,NULL,NULL,NULL,14710,2016,430,0.2986112083333334,3.6,Medium
1503960366,2016-05-03,15103,9.65999984741211,50,24,254,816,1990,Complete,273,296,92.2,Valid,52.5999984741211,115.963146545323,NULL,22.6499996185303,"Weight/BMI Mismatch",True,NULL,NULL,NULL,NULL,15103,1992,452,0.313888875,4.4,Medium
1503960366,2016-05-04,11100,7.15000009536743,36,22,203,1179,1819,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11100,1819,355,0.24652779166666672,2.5,High
1503960366,2016-05-05,14070,8.89999961853027,45,24,250,857,1959,Complete,247,264,93.6,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14047,1960,433,0.30069445833333325,3.8,High
1503960366,2016-05-06,12159,8.02999973297119,24,6,289,754,1896,Complete,334,367,91.0,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12159,1897,373,0.25902787499999996,2.2,High
1503960366,2016-05-07,11992,7.71000003814697,37,46,175,833,1821,Complete,331,349,94.8,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11992,1819,378,0.2625000416666667,3.4,High
1503960366,2016-05-08,10060,6.57999992370605,44,8,203,574,1740,Complete,594,611,97.2,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10060,1740,351,0.24375,5.3,High
1503960366,2016-05-09,12022,7.71999979019165,46,11,206,835,1819,Complete,338,342,98.8,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12022,1820,366,0.2541667916666667,4.2,High
1503960366,2016-05-10,12207,7.76999998092651,46,31,214,746,1859,Complete,383,403,95.0,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12207,1861,414,0.2875,4.4,High
1503960366,2016-05-11,12770,8.13000011444092,36,23,251,669,1783,Complete,285,306,93.1,Valid,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11890,1724,393,0.3119048095238095,3.7,High
1503960366,2016-05-12,NULL,NULL,0,0,0,1440,NULL,Sedentary,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,Low
1624580081,2016-04-12,8163,5.30999994277954,0,0,146,1294,1432,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2788,1433,146,0.1013889166666667,0.0,High
1624580081,2016-04-13,7007,4.55000019073486,0,0,148,1292,1411,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7007,1412,148,0.10277775,0.0,High
1624580081,2016-04-14,9107,5.92000007629395,0,0,236,1204,1572,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9107,1575,236,0.16388895833333336,0.0,High
1624580081,2016-04-15,1510,0.980000019073486,0,0,96,1344,1344,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1490,1346,96,0.06666670833333334,0.0,High
1624580081,2016-04-16,5370,3.49000000953674,0,0,176,1264,1463,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5370,1466,176,0.12222220833333332,0.0,High
1624580081,2016-04-17,6175,4.05999994277954,15,22,127,1276,1554,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6150,1555,216,0.15000004166666667,1.0,High
1624580081,2016-04-18,10536,7.40999984741211,17,7,202,1214,1604,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10536,1604,267,0.18541675000000002,1.2,High
1624580081,2016-04-19,2916,1.89999997615814,0,0,141,1299,1435,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2916,1438,141,0.09791674999999998,0.0,High
1624580081,2016-04-20,4974,3.23000001907349,0,0,151,1289,1446,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4974,1448,151,0.10486112499999999,0.0,High
1624580081,2016-04-21,6349,4.13000011444092,0,0,186,1254,1467,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6349,1468,186,0.129166625,0.0,High
1624580081,2016-04-22,4026,2.61999988555908,0,0,199,1241,1470,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4002,1471,199,0.1381945,0.0,High
1624580081,2016-04-23,8538,5.55000019073486,0,0,227,1213,1562,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8538,1561,227,0.15763883333333334,0.0,High
1624580081,2016-04-24,6076,3.95000004768372,16,18,185,1221,1617,Complete,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6076,1618,269,0.18680549999999999,1.1,High
